标签,名称,方言,国籍,开发建设时间,当地特产,地址,森林覆盖率,文物原属,野生动物,奉化名人,经纪公司,交通,平均海拔,拓片现藏,主要设施,名人,职业,代表作品,海拔高度,特点,票价,娱乐设施,主峰,深度,公司性质,成立时间,所属区域,邮政区码,机场,主要游览内容,气候条件,动物种类,人口,制片地区,体制,周边景点,建造人物,服务,产地,毕业院校,拼音,公司名称,蓄水量,主要成就,信仰,大自然奇迹,规模,市树市花市鸟,政府驻地,海岸线,收藏,总部地点,园林名录,植物展览区,其它译名,开放时间,最早森林公园,作者,分布区域,下辖地区,建筑面积,保护级别,高,旅游级别,等级,文物收藏,馆藏精品,现名,所属地区,酒店住宿,道教圣地,主演,现藏,藏品数量,主要景点,所在地区,建造时间,占地面积,经纬度,国外播放,经营理念,车牌代码,景区面积,藏品,瀑布类型,编剧,级别,植被覆盖率,荣誉,中文名称,面积,蒙古语,水位,名楼四,人文景观,誉称,海拔,景区等级,别名,植物种类,邮政编码,地点,出生地,实际高度,园林性质,正式开放时间,最高峰,作品出处,世界遗产,藏语 ,拍摄地点,著名景点,距北京市,名誉,景观区域,形成地点,竣工时间,属性,导演,岛屿,地理位置,上映时间,火车站,申报单位,平均水深,集数,民族,主要产品,西班牙语,区长,行政区划代码,规划面积,景区四绝,景区位置,景区组成,出家地,特产,名人故居,展示植物,友好城市,售票时间,名楼二,奠基时间,民间建筑代表,外文名称,名胜古迹,总面积,风景区级别,申报地区,保存,莲花瓣,已探深度,起始时间,出品时间,佛体,类别,终点,名楼一,国内播放,馆藏,门票价格,全长,员工数,电话区号,行政区类别,景区特产,休馆时间,最高海拔
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,雁荡山, , ,, , ,, , , , , , , , , , , ,,芦苇茂密，结草为荡, , , , , , , ,, , , , , , , , , , , , ,yandangshan, ,, , , , , , ,, , , , , , , , , , , , , , , , , , ,中国东南温州市境和台州市南部, , , , , ,500 多个, , , , , , , , , , , , , , ,雁荡山, , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , , ,450平方公里, , , , , , ,, , , , , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,神农架,西南官话-鄂北片、荆宜片, ,, , ,, , , , , , , , , , , ,, , , , , , , , ,442400,神农架机场（规划）, ,亚热带季风气候, ,80321（2009年）, , , , , , , , , ,, , , , , ,松柏镇常青路18号,, , , , , , , , , ,松柏镇，木鱼镇，宋洛乡, , , , , , , , ,中国华中, , , , , , , , , , , , ,鄂, , , , , , , ,神农架,3253平方公里, , , , , , , ,华中屋脊, ,, , , , , , , , , , ,神农顶，天燕原始生态旅游区，红坪，燕子垭, , , , , , , , ,湖北西部,,神农架站（规划）, , , , , , ,周森锋,, , , , , , , , , , , , , ,Shennongjia, , , , , , , , ,, , , , , , , , , ,719,林区，副地级, , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,灵山大佛, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , , , , ,88m, , , , , ,江苏无锡, , , , , , , , , , , , , , , , , , , , ,灵山大佛,30公顷, , , , , , ,5A级景区,小灵山, ,, , , , , , , , , , , , , , , , , , , ,江苏省无锡市滨湖区马山灵山路,, , , , , , , , ,, , , , , , , , , , , , , , , , , , , ,9m, , ,,79m, , , , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,青海湖, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , , , , , , , , , , , , , , ,中国青海, , , , , , , , , , , , , , , , , , , , ,青海湖,4583平方公里,K&amp;amp;ouml;ke Naγur, , , , , , , , ,, , , , , , , , ,mtsho-sngon, , , , , , , , , , ,刚察县、共和县及海晏县交汇处,, , , , , , ,Lago Qinghai, ,, , , , , , , , , , , , , ,Qinghai Lake, , , , , , , , ,, , , , , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item,黄鹤楼, , ,, , ,, , , , , , , , , , , ,, , , , , , , , ,, , , , , , , , , , , , , , ,, , , , , , ,, , , , , ,1985年6月重建开放, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,黄鹤楼, , , , , ,“天下江山第一楼”, , , , ,,湖北武汉蛇山, , , , , , , , , , , , , , ,始建于三国时期，1981年重建, , , , ,, , , , , , , , ,, , , , , , , , , , , , , ,Yellow Crane Tower, , , , , , , , ,, ,古楼, , , , , , , ,, , , , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
